range,values
'Cotizaciones'!N157,[['RAM']]
'Cotizaciones'!F158,[['SNVS/250G']]
'Cotizaciones'!M158,[[1.0]]
'Cotizaciones'!N158,[['SSD']]
'Cotizaciones'!F159,[['WD10EZEX']]
'Cotizaciones'!M159,[[0.99]]
'Cotizaciones'!N159,[['HDD']]
'Cotizaciones'!F163,[['Z1INSSO10PRO']]
'Cotizaciones'!M163,[[1.0]]
'Cotizaciones'!N163,[['Sistema operativo']]
'Cotizaciones'!F164,[['ACCVENTI47']]
'Cotizaciones'!M164,[[1.0]]
'Cotizaciones'!N164,[['FAN']]
'Cotizaciones'!F166,[['BX8071512900KF']]
'Cotizaciones'!M166,[[0.94]]
'Cotizaciones'!N166,[['CPU']]
'Cotizaciones'!F168,[['SSR-1000FX']]
'Cotizaciones'!M168,[[0.93]]
'Cotizaciones'!N168,[['PSU']]
'Cotizaciones'!F169,[['BX8070110400']]
'Cotizaciones'!M169,[[1.0]]
'Cotizaciones'!N169,[['CPU']]
'Cotizaciones'!F171,[['GV-N1030D5-2GL']]
'Cotizaciones'!M171,[[0.94]]
'Cotizaciones'!N171,[['GPU']]
'Cotizaciones'!F173,[['SNVS/500G']]
'Cotizaciones'!M173,[[0.88]]
'Cotizaciones'!N173,[['SSD']]
'Cotizaciones'!F174,[['AEROPGSMECHA-G-BK-V2']]
'Cotizaciones'!M174,[[0.88]]
'Cotizaciones'!N174,[['CASE']]
'Cotizaciones'!F176,[['Z1INSSO10PRO']]
'Cotizaciones'!M176,[[1.0]]
'Cotizaciones'!N176,[['Sistema operativo']]
'Cotizaciones'!F178,[['9H.LHXLB.QBA']]
'Cotizaciones'!M178,[[1.0]]
'Cotizaciones'!N178,[['MONITOR']]
'Cotizaciones'!F179,[['Z1MANT']]
'Cotizaciones'!M179,[[0.96]]
'Cotizaciones'!N179,[['Mantenimiento']]
'Cotizaciones'!F182,[['Z1INSSO10PRO']]
'Cotizaciones'!M182,[[1.0]]
'Cotizaciones'!N182,[['Sistema operativo']]
'Cotizaciones'!F186,[['N730K-2GD3H/LPV1']]
'Cotizaciones'!M186,[[1.0]]
'Cotizaciones'!N186,[['GPU']]
'Cotizaciones'!F187,[['KF426C16BB1/16']]
'Cotizaciones'!M187,[[0.93]]
'Cotizaciones'!N187,[['RAM']]
'Cotizaciones'!F190,[['CYLON 600W']]
'Cotizaciones'!M190,[[0.95]]
'Cotizaciones'!N190,[['PSU']]
'Cotizaciones'!F193,[['Z1INSSO10PRO']]
'Cotizaciones'!M193,[[1.0]]
'Cotizaciones'!N193,[['Sistema operativo']]
'Cotizaciones'!F194,[['BX8071512400F']]
'Cotizaciones'!M194,[[0.91]]
'Cotizaciones'!N194,[['CPU']]
'Cotizaciones'!F195,[['PRIME H610M-F WIFI D4']]
'Cotizaciones'!M195,[[0.9]]
'Cotizaciones'!N195,[['MOBO']]
'Cotizaciones'!F197,[['AX4U320016G16A-SR30']]
'Cotizaciones'!M197,[[0.91]]
'Cotizaciones'!N197,[['RAM']]
'Cotizaciones'!F200,[['CYLON 700W']]
